2022-12-10 13:23:50,128 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop": constructor returned NULL
2022-12-10 13:23:50,128 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop to DB -> /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop
2022-12-10 13:23:52,132 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop": constructor returned NULL
2022-12-10 13:23:52,132 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop to DB -> /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop
2022-12-10 13:23:54,135 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop": constructor returned NULL
2022-12-10 13:23:54,136 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop to DB -> /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop
2022-12-10 13:23:56,140 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop": constructor returned NULL
2022-12-10 13:23:56,141 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop to DB -> /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop
2022-12-10 13:23:58,145 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop": constructor returned NULL
2022-12-10 13:23:58,146 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop to DB -> /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop
2022-12-10 13:24:00,150 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop": constructor returned NULL
2022-12-10 13:24:00,151 | WARNING | ulauncher.search.apps.app_watcher: _add_file_sync() | Cannot add /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop to DB -> /home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop
2022-12-10 13:24:02,155 | INFO | ulauncher.utils.desktop.reader: read_desktop_file() | Could not read "/home/aamir/.local/share/applications/org.kde.plasma.ksys76power.desktop": constructor returned NULL
